"sp" "spn" "depth" "taxa" "ntip"
"species" 109 0.0109578608958635 "Zotu129_P1_A03_38TCONS8_S503_N702;size=2" 12
"species" 109 0.0109578608958635 "Zotu107_P1_G02_20MMC2_S502_N702;size=2" 12
"species" 109 0.0109578608958635 "Zotu226_P2_G02_14SHCN5C2_S517_N707;size=1" 12
"species" 109 0.0109578608958635 "Zotu82_P1_D05_13SHC4C1_S505_N703;size=3" 12
"species" 109 0.0109578608958635 "Zotu136_P1_D05_13SHC4C1_S505_N703;size=1" 12
"species" 109 0.0109578608958635 "Zotu157_P3_C06_84ACON6_S504_N701;size=1" 12
"species" 109 0.0109578608958635 "Zotu189_P3_A07_81ACON3_S507_N701;size=1" 12
"species" 109 0.0109578608958635 "Zotu223_P3_A07_81ACON3_S507_N701;size=2" 12
"species" 109 0.0109578608958635 "Zotu52_P1_E02_21MMC3_S517_N701;size=2" 12
"species" 139 0.00481056420262599 "Zotu81_P1_A03_38TCONS8_S503_N702;size=5" 7
"species" 139 0.00481056420262599 "Zotu227_P1_B08_17IZPOC2_S517_N704;size=1" 7
"species" 139 0.00481056420262599 "Zotu199_P1_B08_17IZPOC2_S517_N704;size=1" 7
"species" 139 0.00481056420262599 "Zotu220_P2_G02_14SHCN5C2_S517_N707;size=1" 7
"species" 139 0.00481056420262599 "Zotu126_P1_B08_17IZPOC2_S517_N704;size=3" 7
"species" 139 0.00481056420262599 "Zotu87_P2_G02_14SHCN5C2_S517_N707;size=1" 7
"species" 139 0.00481056420262599 "Zotu140_P1_B08_17IZPOC2_S517_N704;size=1" 7
"species" 140 0.00923931778215386 "Zotu349_P3_A05_107ACON20_S507_N712;size=3" 9
"species" 140 0.00923931778215386 "Zotu221_P1_B06_71SHCON2_S508_N703;size=2" 9
"species" 140 0.00923931778215386 "Zotu26_P1_B08_17IZPOC2_S517_N704;size=3" 9
"species" 140 0.00923931778215386 "Zotu47_P1_B08_17IZPOC2_S517_N704;size=2" 9
"species" 140 0.00923931778215386 "Zotu94_P2_C01_18IZTAC3_S503_N707;size=1" 9
"species" 140 0.00923931778215386 "Zotu48_P1_E02_21MMC3_S517_N701;size=2" 9
"species" 140 0.00923931778215386 "Zotu73_P2_C01_18IZTAC3_S503_N707;size=1" 9
"species" 140 0.00923931778215386 "Zotu202_P1_B08_17IZPOC2_S517_N704;size=1" 9
"species" 140 0.00923931778215386 "Zotu87_P3_C03_125ACON15_S508_N711;size=2" 9
"species" 144 0.00849098830813351 "Zotu236_P1_B06_71SHCON2_S508_N703;size=3" 8
"species" 144 0.00849098830813351 "Zotu109_P1_G02_20MMC2_S502_N702;size=3" 8
"species" 144 0.00849098830813351 "Zotu107_P1_H08_70SHCON1_S504_N705;size=1" 8
"species" 144 0.00849098830813351 "Zotu214_P1_D07_35TCONS5_S506_N704;size=1" 8
