,CON_NTO_TLC_31TCONS1,CON_NTO_TLC_32TCONS2,CON_NTO_TLC_33TCONS3,CON_NTO_TLC_34TCONS4,CON_NTO_TLC_35TCONS5,CON_NTO_TLC_36TCONS6,CON_NTO_TLC_37TCONS7,CON_NTO_TLC_38TCONS8,CON_NTO_TLC_39TCONS9,CON_NTO_SJH_70SHCON1,CON_NTO_SJH_71SHCON2,CON_NTO_SJH_72SHCON3,CON_NTO_SJH_73SHCON4,CON_NTO_SJH_74SHCON5,CON_NTO_SJH_75SHCON6,CON_NTO_SJH_76SHCON7,CON_NTO_SJH_77SHCON8,CON_NTO_SJH_78SHCON9,CON_NTO_ASB_79ACON1,CON_NTO_ASB_80ACON2,CON_NTO_ASB_81ACON3,CON_NTO_ASB_82ACON4,CON_NTO_ASB_83ACON5,CON_NTO_ASB_84ACON6,CON_NTO_ASB_85ACON7,CON_NTO_ASB_86ACON8,CON_NTO_ASB_87ACON9,CON_NTO_AAB_106ACON19,CON_NTO_AAB_107ACON20,CON_NTO_AAB_108ACON21,CON_NTO_AAB_109ACON22,CON_NTO_AAB_110ACON23,CON_NTO_AAB_111ACON24,CON_NTO_AAB_120ACON10,CON_NTO_AAB_121ACON11,CON_NTO_AAB_122ACON12,CON_NTO_AAB_123ACON13,CON_NTO_AAB_124ACON14,CON_NTO_AAB_125ACON15,CON_NTO_AAB_126ACON16,CON_NTO_AAB_127ACON17,CON_NTO_AAB_128ACON18
CON_NTO_ASB_81ACON3,1.644851909,1.64689959,1.646760229,1.64825637,1.649198136,1.650227447,1.648218006,1.647670231,1.65026692,1.516018322,1.517455965,1.517852245,1.518596257,1.518155085,1.518180791,1.525825739,1.525408212,1.524115904,0.5323093327,0.4401160543,0,0.423536363,0.5625192367,0.6235506744,0.6873034107,0.6793674579,0.6733384021,1.107285122,1.111082277,1.115822326,1.124333327,1.127697983,1.132244757,1.22325613,1.228742163,1.233348612,1.239450846,1.242440147,1.247271863,1.253913072,1.256046158,1.26068392
CON_NTO_ASB_82ACON4,1.649049036,1.651096567,1.650957215,1.652453248,1.65339495,1.654424192,1.652414885,1.651867146,1.65446366,1.520231788,1.521669386,1.522065843,1.522812228,1.522370861,1.522396226,1.530038051,1.529620466,1.528328527,0.5691152001,0.4937188197,0.423536363,0,0.5102517008,0.5910361227,0.6644318418,0.6572636708,0.6522261779,1.110822542,1.114592512,1.119313654,1.127785712,1.131138214,1.135671565,1.226493372,1.231969112,1.236565483,1.242659239,1.245644358,1.250469828,1.257097138,1.259226252,1.26385415
CON_NTO_ASB_83ACON5,1.661248482,1.663296609,1.663158038,1.664656287,1.665597807,1.666625993,1.664618303,1.664071474,1.666667993,1.532521148,1.53395648,1.534351672,1.535088559,1.534648711,1.534675207,1.542314755,1.54189813,1.540607022,0.6365453514,0.5944240629,0.5625192367,0.5102517008,0,0.484610247,0.6066371077,0.5954367075,0.5897161902,1.123440756,1.127163056,1.131839221,1.140226277,1.143548503,1.148044027,1.23825037,1.243693014,1.248261759,1.254318077,1.257284854,1.262080857,1.268667544,1.270783697,1.275383659
CON_NTO_ASB_84ACON6,1.673223534,1.675271939,1.67513382,1.676633291,1.67757468,1.67860223,1.676595524,1.676049234,1.678645679,1.544554761,1.545988776,1.546383321,1.547115802,1.546676738,1.546703733,1.554340629,1.553924527,1.552634054,0.6764421207,0.6446115345,0.6235506744,0.5910361227,0.484610247,0,0.5326962567,0.5170421731,0.5183158822,1.135414016,1.13909762,1.143739338,1.152060072,1.155359152,1.159826265,1.249573593,1.254991336,1.259538797,1.265567997,1.268521482,1.273296298,1.279851987,1.281958406,1.286536943
CON_NTO_ASB_85ACON7,1.696831832,1.698880359,1.698742623,1.700243034,1.701184266,1.702211235,1.700205451,1.699659635,1.702255889,1.56822394,1.569656827,1.570050963,1.570781531,1.570342974,1.570370131,1.578002519,1.57758681,1.576297137,0.7260559006,0.7013766996,0.6873034107,0.6644318418,0.6066371077,0.5326962567,0,0.424502994,0.4961802873,1.158623706,1.162254599,1.166851594,1.17508479,1.178353845,1.18278468,1.271948861,1.277334687,1.281854255,1.287849996,1.290787081,1.295535979,1.302051435,1.304145416,1.308696016
CON_NTO_ASB_86ACON8,1.694839213,1.696888565,1.696751515,1.698254131,1.699195325,1.700221478,1.698216885,1.697671819,1.70026842,1.566280228,1.567711165,1.56810382,1.568821215,1.568384405,1.568413244,1.576049679,1.575634947,1.574345302,0.7219660552,0.6967036738,0.6793674579,0.6572636708,0.5954367075,0.5170421731,0.424502994,0,0.3777849682,1.158234973,1.161879447,1.166477039,1.17471728,1.177985731,1.182412594,1.271459946,1.276839696,1.281357015,1.287339803,1.290270574,1.295008377,1.301518655,1.303610084,1.308157697
CON_NTO_ASB_87ACON9,1.692516038,1.694565916,1.694429288,1.695933276,1.696874453,1.697900109,1.695896238,1.695351633,1.697948466,1.563985687,1.565415423,1.565807145,1.566516159,1.566080449,1.566110362,1.573749605,1.573335482,1.572045818,0.7183483842,0.6928896547,0.6733384021,0.6522261779,0.5897161902,0.5183158822,0.4961802873,0.3777849682,0,1.156954694,1.160609989,1.165209844,1.173458289,1.176727654,1.181153579,1.270153767,1.275531181,1.280048393,1.286024583,1.288952144,1.293684171,1.300193084,1.302283494,1.306830544
CON_NTO_AAB_106ACON19,1.528912797,1.530877646,1.530672234,1.531952958,1.532897196,1.534004269,1.531882006,1.531262162,1.533821958,1.395706225,1.397329102,1.397870942,1.399924364,1.399312417,1.399170386,1.40636036,1.405848233,1.404561359,1.093807105,1.100497812,1.107285122,1.110822542,1.123440756,1.135414016,1.158623706,1.158234973,1.156954694,0,0.5317061832,0.6213822775,0.7104580275,0.7325955229,0.7566391069,0.9653351611,0.9736723657,0.9805162392,0.9897938863,0.9943056141,1.001568244,1.011179543,1.0142648,1.02085345
CON_NTO_AAB_107ACON20,1.531401046,1.533364793,1.533158942,1.534437748,1.535381784,1.536489182,1.534366568,1.533746326,1.53630525,1.398222859,1.399846603,1.40038988,1.402458772,1.401845225,1.401701105,1.408877683,1.408364812,1.407079262,1.097653095,1.104308482,1.111082277,1.114592512,1.127163056,1.13909762,1.162254599,1.161879447,1.160609989,0.5317061832,0,0.529067138,0.6706984639,0.6995836743,0.7294541495,0.9565990053,0.9651447188,0.972131711,0.9816622237,0.9862921916,0.9937447841,1.003530268,1.006674889,1.013369998
CON_NTO_AAB_108ACON21,1.53345501,1.535417306,1.535210721,1.536486671,1.537430519,1.538538588,1.536415119,1.535794161,1.538352064,1.400284994,1.401910424,1.402455769,1.404545767,1.403929879,1.403782949,1.410944303,1.410430276,1.409146051,1.102448822,1.10907148,1.115822326,1.119313654,1.131839221,1.143739338,1.166851594,1.166477039,1.165209844,0.6213822775,0.529067138,0,0.6156025472,0.6570792531,0.6964127715,0.9477003379,0.9564644221,0.9636097106,0.9733822597,0.9781255396,0.9857581998,0.995729515,0.9989347471,1.005744478
CON_NTO_AAB_109ACON22,1.53828084,1.540240923,1.54003338,1.541305319,1.542248797,1.54335763,1.541233276,1.54061143,1.543167637,1.40515441,1.406781833,1.407330142,1.409451535,1.408832326,1.408681176,1.415816753,1.415301152,1.414019391,1.111059733,1.117620664,1.124333327,1.127785712,1.140226277,1.152060072,1.17508479,1.17471728,1.173458289,0.7104580275,0.6706984639,0.6156025472,0,0.483231767,0.5922944679,0.9289872574,0.9382612687,0.9457636863,0.9561197331,0.9611346247,0.9691998417,0.9795862838,0.9829296297,0.9899920249
CON_NTO_AAB_110ACON23,1.540097418,1.54205667,1.541848759,1.543119175,1.544062518,1.545171652,1.543046944,1.542424753,1.544980331,1.406985704,1.408613904,1.409163334,1.41129654,1.410676073,1.410523336,1.417649386,1.417133184,1.415852324,1.114462261,1.121001446,1.127697983,1.131138214,1.143548503,1.155359152,1.178353845,1.177985731,1.176727654,0.7325955229,0.6995836743,0.6570792531,0.483231767,0,0.5159734593,0.921594382,0.9310859628,0.9387419546,0.9493390939,0.9544658814,0.9627084326,0.9732686009,0.9766690479,0.9838367774
