,CON_NTO_TLC_31TCONS1,CON_NTO_TLC_32TCONS2,CON_NTO_TLC_33TCONS3,CON_NTO_TLC_34TCONS4,CON_NTO_TLC_35TCONS5,CON_NTO_TLC_36TCONS6,CON_NTO_TLC_37TCONS7,CON_NTO_TLC_38TCONS8,CON_NTO_TLC_39TCONS9,CON_NTO_SJH_70SHCON1,CON_NTO_SJH_71SHCON2,CON_NTO_SJH_72SHCON3,CON_NTO_SJH_73SHCON4,CON_NTO_SJH_74SHCON5,CON_NTO_SJH_75SHCON6,CON_NTO_SJH_76SHCON7,CON_NTO_SJH_77SHCON8,CON_NTO_SJH_78SHCON9,CON_NTO_ASB_79ACON1,CON_NTO_ASB_80ACON2,CON_NTO_ASB_81ACON3,CON_NTO_ASB_82ACON4,CON_NTO_ASB_83ACON5,CON_NTO_ASB_84ACON6,CON_NTO_ASB_85ACON7,CON_NTO_ASB_86ACON8,CON_NTO_ASB_87ACON9,CON_NTO_AAB_106ACON19,CON_NTO_AAB_107ACON20,CON_NTO_AAB_108ACON21,CON_NTO_AAB_109ACON22,CON_NTO_AAB_110ACON23,CON_NTO_AAB_111ACON24,CON_NTO_AAB_120ACON10,CON_NTO_AAB_121ACON11,CON_NTO_AAB_122ACON12,CON_NTO_AAB_123ACON13,CON_NTO_AAB_124ACON14,CON_NTO_AAB_125ACON15,CON_NTO_AAB_126ACON16,CON_NTO_AAB_127ACON17,CON_NTO_AAB_128ACON18
CON_NTO_ASB_81ACON3,1.32953022,1.33087422,1.330836247,1.331741608,1.332442459,1.332880953,1.331873312,1.331579565,1.333129226,1.254280876,1.254796684,1.254535875,1.251457918,1.251658835,1.252009074,1.258724914,1.258688819,1.257923697,0.5221977473,0.4399315077,0,0.4233987697,0.5611003782,0.609534606,0.6727467848,0.6611700069,0.6573097546,1.004165058,1.005444154,1.006925835,1.010480808,1.011693169,1.012868262,1.031071606,1.03156646,1.03153126,1.032998642,1.033916941,1.035295877,1.035176276,1.036019697,1.036134153
CON_NTO_ASB_82ACON4,1.330047023,1.331390469,1.3313524,1.332257145,1.332957754,1.333396221,1.332388742,1.332094979,1.333644064,1.254834048,1.255349834,1.255089654,1.252017348,1.25221774,1.252567258,1.259276095,1.259239822,1.258475383,0.5642389095,0.4933056618,0.4233987697,0,0.5095221243,0.575622082,0.6526263933,0.6408797972,0.6381422347,1.004098273,1.005332137,1.006776733,1.010255752,1.011442569,1.012587064,1.030363998,1.030840143,1.03078746,1.032243088,1.033150765,1.034522581,1.034377817,1.035215189,1.035314545
CON_NTO_ASB_83ACON5,1.330944008,1.332288094,1.332251123,1.333158541,1.333859048,1.334296366,1.333290662,1.33299797,1.334547194,1.255837241,1.256350651,1.256089381,1.253009392,1.253211161,1.253562025,1.260265344,1.260229999,1.259466546,0.6309658944,0.5922186577,0.5611003782,0.5095221243,0,0.4545919909,0.5989886647,0.5806022416,0.5786969578,1.005570281,1.00671481,1.008080768,1.011391262,1.012520635,1.013598716,1.030366491,1.030797577,1.030707143,1.032123068,1.032998595,1.034341642,1.034141427,1.034957132,1.035020931
CON_NTO_ASB_84ACON6,1.331573858,1.332917984,1.332881451,1.333789775,1.334490132,1.334926932,1.333922081,1.333629852,1.335178886,1.256529521,1.257041881,1.256780408,1.253699524,1.253901666,1.254252804,1.260950649,1.260915634,1.26015291,0.6611698543,0.6309659301,0.609534606,0.575622082,0.4545919909,0,0.5455974313,0.522197806,0.5290198507,1.006240143,1.007325701,1.008640555,1.011842465,1.012934879,1.013969853,1.030090792,1.030492939,1.030377646,1.031769633,1.032625405,1.033951574,1.033714969,1.034517726,1.034558525
CON_NTO_ASB_85ACON7,1.332836444,1.334180651,1.334144984,1.335055099,1.33575516,1.336190937,1.335187769,1.334896456,1.336445117,1.25791526,1.258425548,1.258163674,1.255081015,1.255283892,1.255635572,1.262322637,1.262288272,1.261526986,0.7066939042,0.6858512656,0.6727467848,0.6526263933,0.5989886647,0.5455974313,0,0.439931572,0.5036322351,1.007659356,1.008628866,1.009842453,1.012828067,1.013846672,1.01479573,1.029610432,1.029953725,1.029788261,1.031130467,1.031945413,1.033236148,1.032925874,1.033701597,1.033695584
CON_NTO_ASB_86ACON8,1.332382019,1.333727929,1.333693327,1.334606856,1.33530736,1.335742306,1.334740167,1.334449723,1.335999741,1.257465017,1.257973503,1.257709421,1.25460857,1.254813654,1.25516794,1.26186583,1.261832572,1.261070579,0.6994230018,0.6779090028,0.6611700069,0.6408797972,0.5806022416,0.522197806,0.439931572,0,0.3773239578,1.00878668,1.009790118,1.011028601,1.014061297,1.015095387,1.016064426,1.031113989,1.031467272,1.031313822,1.032655319,1.03347189,1.034759237,1.03446559,1.035240124,1.035242683
CON_NTO_ASB_87ACON9,1.332132596,1.333479641,1.333445789,1.334361673,1.335062461,1.335496811,1.334495427,1.334205602,1.335756511,1.25722359,1.257730784,1.257465207,1.254352118,1.254558709,1.25491476,1.261619432,1.261586942,1.260824535,0.6972896393,0.676079797,0.6573097546,0.6381422347,0.5786969578,0.5290198507,0.5036322351,0.3773239578,0,1.009600527,1.010621165,1.011871528,1.014925576,1.015966576,1.016944962,1.032091838,1.032449155,1.032301452,1.033640328,1.034456209,1.035739796,1.035453936,1.036226526,1.036232724
CON_NTO_AAB_106ACON19,1.333458093,1.334650123,1.334500503,1.33506767,1.335735289,1.336267924,1.335135362,1.334746299,1.336183441,1.255411309,1.256126852,1.256069671,1.254637257,1.254628717,1.254737879,1.260702723,1.260555907,1.259825749,1.001718729,1.002293859,1.004165058,1.004098273,1.005570281,1.006240143,1.007659356,1.00878668,1.009600527,0,0.5316647517,0.6154153632,0.7097432293,0.7315666859,0.7530531041,0.9219771983,0.9263649403,0.9294428628,0.9343276465,0.9379200336,0.9417446505,0.9457844156,0.9483596206,0.9510777724
CON_NTO_AAB_107ACON20,1.334723746,1.33591445,1.335764499,1.336329994,1.336997044,1.337529697,1.336397391,1.33600821,1.337443961,1.256760834,1.257476041,1.25742006,1.25599842,1.255988978,1.256096829,1.262046471,1.261899372,1.261170765,1.003091335,1.00360442,1.005444154,1.005332137,1.00671481,1.007325701,1.008628866,1.009790118,1.010621165,0.5316647517,0,0.5159197116,0.6702792625,0.6989153058,0.7258028247,0.9148935114,0.9195262738,0.922781783,0.9279007368,0.9316643773,0.9356568697,0.9399069667,0.9425909176,0.9454405986
CON_NTO_AAB_108ACON21,1.335835582,1.337024764,1.336874328,1.33743766,1.338104143,1.33863701,1.337504665,1.337115179,1.338549478,1.257939899,1.258655232,1.258600727,1.257191944,1.257181274,1.257287476,1.263222279,1.263074699,1.262347519,1.004657867,1.005118106,1.006925835,1.006776733,1.008080768,1.008640555,1.009842453,1.011028601,1.011871528,0.6154153632,0.5159197116,0,0.6212105521,0.6609595515,0.6957229561,0.9084315065,0.91330961,0.9167470432,0.9220877961,0.9260157122,0.9301646781,0.9346286546,0.9374145768,0.9403955095
